"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CRUD test","This test will get all booking ids","SUCCESS","2023-06-06T22:58:40.687+01:00[Europe/London]","0.0","0.64"
"Booking CRUD test","This test get single booking information by id ","SUCCESS","2023-06-06T22:58:41.801+01:00[Europe/London]","0.0","0.45"
